project_id,task_id,template_id,task_name,start_date,end_date,owner,location,status,risk,sla_due,dependency
PROJ-00001,TASK-000001,TEMPLATE-009,Power Backup Setup - Survey,2024-10-27,2024-10-30,James Smith,Hyderabad,Completed,High,2024-11-05,
PROJ-00001,TASK-000002,TEMPLATE-009,Power Backup Setup - Excavation,2024-10-27,2024-10-29,Robert Smith,Mumbai,Not Started,High,2024-11-05,TASK-000001
PROJ-00001,TASK-000003,TEMPLATE-009,Power Backup Setup - Cable Laying,2024-10-27,2024-10-29,Michael Fisher,Chennai,Not Started,Low,2024-11-05,TASK-000002
PROJ-00001,TASK-000004,TEMPLATE-009,Power Backup Setup - Testing,2024-10-27,2024-11-03,Christina Strong,Mumbai,Delayed,Medium,2024-11-05,TASK-000003
PROJ-00001,TASK-000005,TEMPLATE-009,Power Backup Setup - Handover,2024-10-27,2024-10-31,Rhonda Ford MD,Chennai,In Progress,Medium,2024-11-05,TASK-000004
PROJ-00002,TASK-000006,TEMPLATE-006,Power Backup Setup - Survey,2024-08-17,2024-08-21,Kelsey Weiss DDS,Chennai,Not Started,High,2024-09-02,TASK-000005
PROJ-00002,TASK-000007,TEMPLATE-006,Power Backup Setup - Excavation,2024-08-17,2024-08-28,Jennifer Jensen,Delhi,In Progress,Low,2024-09-02,TASK-000006
PROJ-00002,TASK-000008,TEMPLATE-006,Power Backup Setup - Cable Laying,2024-08-17,2024-08-25,Stephen Cole,Bangalore,Completed,High,2024-09-02,TASK-000007
PROJ-00003,TASK-000009,TEMPLATE-009,Power Backup Setup - Survey,2024-07-20,2024-07-22,Charles Haley,Chennai,Not Started,Low,2024-07-29,TASK-000008
PROJ-00003,TASK-000010,TEMPLATE-009,Power Backup Setup - Excavation,2024-07-20,2024-07-27,Betty Cross,Mumbai,Completed,Medium,2024-07-29,TASK-000009
PROJ-00003,TASK-000011,TEMPLATE-009,Power Backup Setup - Cable Laying,2024-07-20,2024-07-23,Sara Mann,Mumbai,In Progress,High,2024-07-29,TASK-000010
PROJ-00003,TASK-000012,TEMPLATE-009,Power Backup Setup - Testing,2024-07-20,2024-07-26,Steven House,Chennai,In Progress,High,2024-07-29,TASK-000011
PROJ-00003,TASK-000013,TEMPLATE-009,Power Backup Setup - Handover,2024-07-20,2024-07-24,Francisco Durham,Bangalore,Delayed,Low,2024-07-29,TASK-000012
PROJ-00004,TASK-000014,TEMPLATE-005,RF Optimization - Survey,2024-12-23,2024-12-26,Nicole Goodwin,Delhi,Completed,High,2025-01-02,TASK-000013
PROJ-00004,TASK-000015,TEMPLATE-005,RF Optimization - Excavation,2024-12-23,2024-12-30,Lisa Morrison,Hyderabad,Delayed,Medium,2025-01-02,TASK-000014
PROJ-00004,TASK-000016,TEMPLATE-005,RF Optimization - Cable Laying,2024-12-23,2024-12-27,Travis Caldwell,Delhi,Delayed,Low,2025-01-02,TASK-000015
PROJ-00004,TASK-000017,TEMPLATE-005,RF Optimization - Testing,2024-12-23,2024-12-24,Lindsay Wallace,Mumbai,In Progress,High,2025-01-02,TASK-000016
PROJ-00005,TASK-000018,TEMPLATE-003,Site Acceptance Test - Survey,2024-10-05,2024-10-07,Matthew Gonzales,Hyderabad,Not Started,Medium,2024-10-09,TASK-000017
PROJ-00005,TASK-000019,TEMPLATE-003,Site Acceptance Test - Excavation,2024-10-05,2024-10-07,Krista Robinson,Hyderabad,Delayed,High,2024-10-09,TASK-000018
PROJ-00005,TASK-000020,TEMPLATE-003,Site Acceptance Test - Cable Laying,2024-10-05,2024-10-07,Jennifer Walker,Hyderabad,Not Started,High,2024-10-09,TASK-000019
PROJ-00006,TASK-000021,TEMPLATE-002,Fiber Trenching - Survey,2025-06-12,2025-06-23,Erika Jones,Hyderabad,Completed,High,2025-06-27,TASK-000020
PROJ-00006,TASK-000022,TEMPLATE-002,Fiber Trenching - Excavation,2025-06-12,2025-06-18,Nicole Scott,Mumbai,Completed,Medium,2025-06-27,TASK-000021
PROJ-00006,TASK-000023,TEMPLATE-002,Fiber Trenching - Cable Laying,2025-06-12,2025-06-15,Sandra Hayes,Bangalore,Not Started,High,2025-06-27,TASK-000022
PROJ-00007,TASK-000024,TEMPLATE-005,RF Optimization - Survey,2024-12-29,2025-01-01,Carolyn Jones,Hyderabad,Not Started,High,2025-01-08,TASK-000023
PROJ-00007,TASK-000025,TEMPLATE-005,RF Optimization - Excavation,2024-12-29,2025-01-03,Terry Green,Hyderabad,In Progress,Low,2025-01-08,TASK-000024
PROJ-00007,TASK-000026,TEMPLATE-005,RF Optimization - Cable Laying,2024-12-29,2025-01-04,Hannah Foster,Delhi,Not Started,High,2025-01-08,TASK-000025
PROJ-00007,TASK-000027,TEMPLATE-005,RF Optimization - Testing,2024-12-29,2025-01-04,Nancy Jenkins,Bangalore,Not Started,Low,2025-01-08,TASK-000026
PROJ-00008,TASK-000028,TEMPLATE-006,Power Backup Setup - Survey,2025-03-31,2025-04-14,Melissa Bell,Chennai,In Progress,Low,2025-04-16,TASK-000027
PROJ-00008,TASK-000029,TEMPLATE-006,Power Backup Setup - Excavation,2025-03-31,2025-04-04,James Miles,Hyderabad,Not Started,Low,2025-04-16,TASK-000028
PROJ-00008,TASK-000030,TEMPLATE-006,Power Backup Setup - Cable Laying,2025-03-31,2025-04-12,Adam Blake,Bangalore,Not Started,High,2025-04-16,TASK-000029
PROJ-00009,TASK-000031,TEMPLATE-003,Site Acceptance Test - Survey,2025-02-27,2025-02-28,Donna Steele,Bangalore,In Progress,Medium,2025-03-03,TASK-000030
PROJ-00009,TASK-000032,TEMPLATE-003,Site Acceptance Test - Excavation,2025-02-27,2025-03-01,Heidi Mack,Delhi,In Progress,High,2025-03-03,TASK-000031
PROJ-00009,TASK-000033,TEMPLATE-003,Site Acceptance Test - Cable Laying,2025-02-27,2025-03-01,Chelsea Leonard,Bangalore,Completed,Medium,2025-03-03,TASK-000032
PROJ-00010,TASK-000034,TEMPLATE-009,Power Backup Setup - Survey,2024-08-04,2024-08-08,Mary Wilson,Mumbai,In Progress,Low,2024-08-13,TASK-000033
PROJ-00010,TASK-000035,TEMPLATE-009,Power Backup Setup - Excavation,2024-08-04,2024-08-05,Brett Mitchell,Chennai,Not Started,High,2024-08-13,TASK-000034
PROJ-00010,TASK-000036,TEMPLATE-009,Power Backup Setup - Cable Laying,2024-08-04,2024-08-09,Melissa Lane,Delhi,In Progress,Low,2024-08-13,TASK-000035
PROJ-00010,TASK-000037,TEMPLATE-009,Power Backup Setup - Testing,2024-08-04,2024-08-05,Kim Todd,Mumbai,In Progress,Low,2024-08-13,TASK-000036
PROJ-00010,TASK-000038,TEMPLATE-009,Power Backup Setup - Handover,2024-08-04,2024-08-05,Justin Pena,Chennai,Not Started,High,2024-08-13,TASK-000037
PROJ-00011,TASK-000039,TEMPLATE-004,Fiber Trenching - Survey,2024-12-04,2024-12-09,Tanya Wagner,Bangalore,In Progress,High,2024-12-16,TASK-000038
PROJ-00011,TASK-000040,TEMPLATE-004,Fiber Trenching - Excavation,2024-12-04,2024-12-07,Joshua Torres DDS,Hyderabad,Delayed,Low,2024-12-16,TASK-000039
PROJ-00011,TASK-000041,TEMPLATE-004,Fiber Trenching - Cable Laying,2024-12-04,2024-12-12,Laurie Bowman,Bangalore,In Progress,Low,2024-12-16,TASK-000040
PROJ-00012,TASK-000042,TEMPLATE-002,Fiber Trenching - Survey,2024-08-29,2024-09-09,Joseph Robinson,Bangalore,Completed,Medium,2024-09-13,TASK-000041
PROJ-00012,TASK-000043,TEMPLATE-002,Fiber Trenching - Excavation,2024-08-29,2024-09-05,Gregg Palmer,Bangalore,Not Started,High,2024-09-13,TASK-000042
PROJ-00012,TASK-000044,TEMPLATE-002,Fiber Trenching - Cable Laying,2024-08-29,2024-09-09,Kim Harrison,Mumbai,Not Started,Medium,2024-09-13,TASK-000043
PROJ-00013,TASK-000045,TEMPLATE-006,Power Backup Setup - Survey,2024-11-05,2024-11-18,Patricia Bowen,Mumbai,In Progress,Low,2024-11-21,TASK-000044
PROJ-00013,TASK-000046,TEMPLATE-006,Power Backup Setup - Excavation,2024-11-05,2024-11-09,Robin Holmes,Hyderabad,Delayed,Low,2024-11-21,TASK-000045
PROJ-00013,TASK-000047,TEMPLATE-006,Power Backup Setup - Cable Laying,2024-11-05,2024-11-12,Cassidy Miller,Delhi,Completed,Medium,2024-11-21,TASK-000046
PROJ-00014,TASK-000048,TEMPLATE-004,Fiber Trenching - Survey,2025-04-23,2025-04-25,Bonnie Roth,Bangalore,Not Started,Low,2025-05-05,TASK-000047
PROJ-00014,TASK-000049,TEMPLATE-004,Fiber Trenching - Excavation,2025-04-23,2025-05-02,Kevin Adams,Mumbai,Not Started,Low,2025-05-05,TASK-000048
PROJ-00014,TASK-000050,TEMPLATE-004,Fiber Trenching - Cable Laying,2025-04-23,2025-04-26,Dwayne Bradley,Bangalore,Delayed,Medium,2025-05-05,TASK-000049
PROJ-00015,TASK-000051,TEMPLATE-004,Fiber Trenching - Survey,2025-05-20,2025-05-27,Alan Burke,Mumbai,In Progress,Medium,2025-06-01,TASK-000050
PROJ-00015,TASK-000052,TEMPLATE-004,Fiber Trenching - Excavation,2025-05-20,2025-05-21,Martin Navarro,Bangalore,Completed,Medium,2025-06-01,TASK-000051
PROJ-00015,TASK-000053,TEMPLATE-004,Fiber Trenching - Cable Laying,2025-05-20,2025-05-25,Mrs. Lynn Rivera MD,Bangalore,Delayed,Low,2025-06-01,TASK-000052
PROJ-00016,TASK-000054,TEMPLATE-004,Fiber Trenching - Survey,2025-06-25,2025-06-30,Franklin Mccall,Delhi,Not Started,High,2025-07-07,TASK-000053
PROJ-00016,TASK-000055,TEMPLATE-004,Fiber Trenching - Excavation,2025-06-25,2025-07-04,Erika Young,Mumbai,Completed,Low,2025-07-07,TASK-000054
PROJ-00016,TASK-000056,TEMPLATE-004,Fiber Trenching - Cable Laying,2025-06-25,2025-06-26,Joseph Kane,Hyderabad,Delayed,High,2025-07-07,TASK-000055
PROJ-00017,TASK-000057,TEMPLATE-009,Power Backup Setup - Survey,2024-12-29,2024-12-31,Steven Wang,Mumbai,Not Started,Low,2025-01-07,TASK-000056
PROJ-00017,TASK-000058,TEMPLATE-009,Power Backup Setup - Excavation,2024-12-29,2024-12-30,Amber Finley,Hyderabad,Not Started,High,2025-01-07,TASK-000057
PROJ-00017,TASK-000059,TEMPLATE-009,Power Backup Setup - Cable Laying,2024-12-29,2025-01-05,Dana Taylor,Delhi,Delayed,Low,2025-01-07,TASK-000058
PROJ-00017,TASK-000060,TEMPLATE-009,Power Backup Setup - Testing,2024-12-29,2025-01-03,Destiny Thomas,Delhi,Not Started,High,2025-01-07,TASK-000059
PROJ-00017,TASK-000061,TEMPLATE-009,Power Backup Setup - Handover,2024-12-29,2024-12-30,Steven Moss,Bangalore,Completed,Medium,2025-01-07,TASK-000060
PROJ-00018,TASK-000062,TEMPLATE-004,Fiber Trenching - Survey,2025-05-05,2025-05-11,Martha Rocha,Delhi,Completed,Medium,2025-05-17,TASK-000061
PROJ-00018,TASK-000063,TEMPLATE-004,Fiber Trenching - Excavation,2025-05-05,2025-05-08,Danny Butler,Chennai,Delayed,Medium,2025-05-17,TASK-000062
PROJ-00018,TASK-000064,TEMPLATE-004,Fiber Trenching - Cable Laying,2025-05-05,2025-05-07,Roberto Montes,Mumbai,Delayed,High,2025-05-17,TASK-000063
PROJ-00019,TASK-000065,TEMPLATE-010,Site Acceptance Test - Survey,2024-08-11,2024-08-13,Tommy Cruz,Mumbai,In Progress,High,2024-08-23,TASK-000064
PROJ-00019,TASK-000066,TEMPLATE-010,Site Acceptance Test - Excavation,2024-08-11,2024-08-16,Benjamin Price,Delhi,Completed,Low,2024-08-23,TASK-000065
PROJ-00019,TASK-000067,TEMPLATE-010,Site Acceptance Test - Cable Laying,2024-08-11,2024-08-15,Jose Watson,Chennai,Completed,Low,2024-08-23,TASK-000066
PROJ-00020,TASK-000068,TEMPLATE-008,Power Backup Setup - Survey,2024-11-17,2024-11-20,Edward Hale,Chennai,Not Started,High,2024-11-22,TASK-000067
PROJ-00020,TASK-000069,TEMPLATE-008,Power Backup Setup - Excavation,2024-11-17,2024-11-20,Tammy Hendrix,Chennai,Not Started,Low,2024-11-22,TASK-000068
PROJ-00020,TASK-000070,TEMPLATE-008,Power Backup Setup - Cable Laying,2024-11-17,2024-11-19,Angela Perkins,Mumbai,Not Started,High,2024-11-22,TASK-000069
PROJ-00021,TASK-000071,TEMPLATE-009,Power Backup Setup - Survey,2024-12-28,2024-12-30,Alexander Ortiz,Chennai,Completed,High,2025-01-06,TASK-000070
PROJ-00021,TASK-000072,TEMPLATE-009,Power Backup Setup - Excavation,2024-12-28,2024-12-30,Brooke Middleton,Chennai,In Progress,High,2025-01-06,TASK-000071
PROJ-00021,TASK-000073,TEMPLATE-009,Power Backup Setup - Cable Laying,2024-12-28,2025-01-03,Lisa Montes,Chennai,Delayed,Medium,2025-01-06,TASK-000072
PROJ-00021,TASK-000074,TEMPLATE-009,Power Backup Setup - Testing,2024-12-28,2025-01-04,Melissa Baker,Mumbai,Not Started,High,2025-01-06,TASK-000073
PROJ-00021,TASK-000075,TEMPLATE-009,Power Backup Setup - Handover,2024-12-28,2025-01-01,Ray Mckenzie,Chennai,Not Started,Low,2025-01-06,TASK-000074
PROJ-00022,TASK-000076,TEMPLATE-006,Power Backup Setup - Survey,2025-06-08,2025-06-21,William Bates,Delhi,Completed,Low,2025-06-24,TASK-000075
PROJ-00022,TASK-000077,TEMPLATE-006,Power Backup Setup - Excavation,2025-06-08,2025-06-20,William Garcia,Bangalore,Delayed,High,2025-06-24,TASK-000076
PROJ-00022,TASK-000078,TEMPLATE-006,Power Backup Setup - Cable Laying,2025-06-08,2025-06-09,Nathan Manning,Mumbai,Not Started,High,2025-06-24,TASK-000077
PROJ-00023,TASK-000079,TEMPLATE-003,Site Acceptance Test - Survey,2025-04-17,2025-04-18,Tyler Ali,Chennai,In Progress,Medium,2025-04-21,TASK-000078
PROJ-00023,TASK-000080,TEMPLATE-003,Site Acceptance Test - Excavation,2025-04-17,2025-04-18,Jason Morton,Mumbai,Completed,Medium,2025-04-21,TASK-000079
PROJ-00023,TASK-000081,TEMPLATE-003,Site Acceptance Test - Cable Laying,2025-04-17,2025-04-18,Nicole Martinez,Chennai,In Progress,High,2025-04-21,TASK-000080
PROJ-00024,TASK-000082,TEMPLATE-004,Fiber Trenching - Survey,2024-11-11,2024-11-13,Jenna Ponce,Chennai,Delayed,High,2024-11-23,TASK-000081
PROJ-00024,TASK-000083,TEMPLATE-004,Fiber Trenching - Excavation,2024-11-11,2024-11-14,Michelle Moore,Delhi,In Progress,Low,2024-11-23,TASK-000082
PROJ-00024,TASK-000084,TEMPLATE-004,Fiber Trenching - Cable Laying,2024-11-11,2024-11-18,Mark Walker,Mumbai,In Progress,High,2024-11-23,TASK-000083
PROJ-00025,TASK-000085,TEMPLATE-006,Power Backup Setup - Survey,2025-04-16,2025-04-29,Carol Miles,Bangalore,In Progress,Medium,2025-05-02,TASK-000084
PROJ-00025,TASK-000086,TEMPLATE-006,Power Backup Setup - Excavation,2025-04-16,2025-04-19,Scott Medina PhD,Mumbai,Delayed,Low,2025-05-02,TASK-000085
PROJ-00025,TASK-000087,TEMPLATE-006,Power Backup Setup - Cable Laying,2025-04-16,2025-04-30,Christine Montes,Bangalore,In Progress,Low,2025-05-02,TASK-000086
PROJ-00026,TASK-000088,TEMPLATE-008,Power Backup Setup - Survey,2025-06-09,2025-06-11,Dylan Johnson,Chennai,In Progress,Low,2025-06-14,TASK-000087
PROJ-00026,TASK-000089,TEMPLATE-008,Power Backup Setup - Excavation,2025-06-09,2025-06-10,Hannah Obrien,Delhi,Delayed,Medium,2025-06-14,TASK-000088
PROJ-00026,TASK-000090,TEMPLATE-008,Power Backup Setup - Cable Laying,2025-06-09,2025-06-11,Mr. Justin Ford,Mumbai,Completed,Medium,2025-06-14,TASK-000089
PROJ-00027,TASK-000091,TEMPLATE-009,Power Backup Setup - Survey,2024-09-05,2024-09-09,Deborah Hebert,Hyderabad,Completed,Low,2024-09-14,TASK-000090
